Instruction_id,category,selfdialog_norm
restaurant-table,0,restauranttable
movie-tickets-1,1,hi would like see movie men want playing yes showing would like purchase ticket yes friend two tickets please okay time moving playing today movie showing pm okay anymore movies showing around pm yes showing pm green book two men dealing racisim oh recommend anything else like well like movies funny like comedies well like action well okay train dragon playing pm okay get two tickets want cancel tickets men want yes please okay problem much cost said two adult tickets yes okay okay anything else help yes bring food theater sorry purchase food lobby okay fine thank enjoy movie
movie-tickets-3,2,want watch avengers endgame want watch bangkok close hotel currently staying sounds good time want watch movie oclock many tickets two use account already movie theater yes seems movie time lets watch another movie movie want watch lets watch train dragon newest one yes one dont think movie playing time either neither choices playing time want watch afraid longer interested watching movie well great day sir thank welcome
pizza-ordering,3,pizzaordering
pizza-ordering,3,pizzaordering
coffee-ordering,4,coffeeordering
pizza-ordering,3,pizzaordering
auto-repair-appt-1,5,hey im driving need set appointment intelligent auto solutions sure thing give car model make year yes toyota camery okay would like done car need brakes changed oil changed well general tuneup done would like schedule appointment well pretty urgent earliest available appointment looks like opening tomorrow afternoon pm oh wow really need done today leave trip tomorrow okay let see else available tonight late could get let check okay thanks okay make exception go evening perfect give name number add order sure name henry james phone number great appointment scheduled tonight change brakes change oil give car general tuneup thats awesome anything else thanks much youre welcome goodbye
pizza-ordering,3,pizzaordering
uber-lyft,6,uberlyft
pizza-ordering,3,pizzaordering
pizza-ordering,3,pizzaordering
pizza-ordering,3,pizzaordering
movie-tickets-2,7,id like get tickets us location im los angeles many tickets would like two would like see movie pm also id like see movie specific theater regal cinemas la live ok let see thats available thanks unfortunately theres showing theater time wanted ok else see theres showing pm arclight fine confirm want two tickets us showing pm arclight movie theater thats right want buy tickets yes tickets purchased sent mobile device text message thanks good day
pizza-ordering,3,pizzaordering
uber-lyft,6,uberlyft
auto-repair-appt-1,5,hi id like schedule mechanic appointment car make car pontiac model car g year car reason bring car mechanic making weird noises reverse open appointment pm book later openings open appointment pm perfect please book one ok appointment pm booked much inspection cost inspection fee plus labor parts ok anything else help today thats ok appointment pontiac g scheduled pm inspection fee plus labor parts please bring drivers licence current registration mechanic time appointment
pizza-ordering,3,pizzaordering
movie-tickets-2,7,hi im trying get tickets lego movie tonight ok city going seeing tacoma ok look movie tacoma many people going need two tickets adult tickets yes two adults looking anything specific two tickets movie tacoma pm ok doesnt look like lego movie version cant find ok standard fine find standard showing tacoma anything nearby city tacoma around pm yes showing south hill puyallup pm whats name theater regal cinemas south hill ok thats far lets ok bought tickets lego movie playing pm tonight regal south hill cinemas sounds good thanks confirming problem im sending mobile via text thanks
